Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,ClassName
.,com.amazonaws.services.s3,AmazonS3Client,44886.0,38732.0,161.0,26.0,0.9722512481133172,0.071875,com.amazonaws.services.s3.AmazonS3Client
.,com.amazonaws.services.s3,AmazonS3,18528.0,0.0,194.0,194.0,1.0052083333333333,-1.0,com.amazonaws.services.s3.AmazonS3
.,com.amazonaws.services.s3,AbstractAmazonS3,18528.0,0.0,193.0,147.0,0.0,0.7616580310880829,com.amazonaws.services.s3.AbstractAmazonS3
.,com.amazonaws.services.s3.model.transform,XmlResponsesSaxParser,13981.0,12562.0,133.0,94.0,0.9946031746031744,0.096590909090909,com.amazonaws.services.s3.model.transform.XmlResponsesSaxParser
.,com.amazonaws.services.s3.model,WriteGetObjectResponseRequest,6785.0,6430.0,5.0,2.0,0.966828836797877,0.0166666666666666,com.amazonaws.services.s3.model.WriteGetObjectResponseRequest
.,com.amazonaws.services.s3.model,CopyObjectRequest,3702.0,3576.0,26.0,22.0,0.9708222811671088,0.25,com.amazonaws.services.s3.model.CopyObjectRequest
.,com.amazonaws.services.s3.model,BucketLifecycleConfiguration,3446.0,3237.0,27.0,27.0,0.9687979539641944,0.2674418604651162,com.amazonaws.services.s3.model.BucketLifecycleConfiguration
.,com.amazonaws.services.s3.internal.eventstreaming,HeaderValue,2416.0,646.0,41.0,27.0,0.9377289377289376,0.2065217391304347,com.amazonaws.services.s3.internal.eventstreaming.HeaderValue
.,com.amazonaws.services.s3.model,AbstractPutObjectRequest,2170.0,2062.0,19.0,12.0,0.9568822553897182,0.1764705882352941,com.amazonaws.services.s3.model.AbstractPutObjectRequest
.,com.amazonaws.services.s3.event,S3EventNotification,2060.0,1975.0,17.0,17.0,0.9738819320214668,0.2575757575757575,com.amazonaws.services.s3.event.S3EventNotification
.,com.amazonaws.services.s3.transfer,TransferManager,2020.0,1895.0,46.0,10.0,0.953846153846154,0.1515151515151515,com.amazonaws.services.s3.transfer.TransferManager
.,com.amazonaws.services.s3.model.transform,Unmarshallers,1815.0,1800.0,58.0,58.0,0.9833333333333332,0.918032786885246,com.amazonaws.services.s3.model.transform.Unmarshallers
.,com.amazonaws.services.s3.model,CopyPartRequest,1494.0,1448.0,24.0,18.0,0.9676767676767676,0.3214285714285714,com.amazonaws.services.s3.model.CopyPartRequest
.,com.amazonaws.services.s3.model,InitiateMultipartUploadRequest,1402.0,1319.0,14.0,13.0,0.9502314814814816,0.2363636363636363,com.amazonaws.services.s3.model.InitiateMultipartUploadRequest
.,com.amazonaws.services.s3.model,GetObjectRequest,1241.0,1104.0,17.0,6.0,0.9195804195804196,0.1132075471698113,com.amazonaws.services.s3.model.GetObjectRequest
.,com.amazonaws.services.s3.model.transform,BucketConfigurationXmlFactory,1090.0,100.0,22.0,6.0,0.6640625,0.0769230769230769,com.amazonaws.services.s3.model.transform.BucketConfigurationXmlFactory
.,com.amazonaws.services.s3.model,CryptoConfigurationV2,1001.0,874.0,12.0,8.0,0.9148936170212766,0.1666666666666666,com.amazonaws.services.s3.model.CryptoConfigurationV2
.,com.amazonaws.services.s3.model,CryptoConfiguration,965.0,849.0,15.0,10.0,0.9130434782608696,0.2127659574468085,com.amazonaws.services.s3.model.CryptoConfiguration
.,com.amazonaws.services.s3.model,UploadPartRequest,950.0,910.0,18.0,17.0,0.9606060606060606,0.3777777777777777,com.amazonaws.services.s3.model.UploadPartRequest
.,com.amazonaws.services.s3.model,CSVInput,902.0,814.0,14.0,2.0,0.8993506493506493,0.0444444444444444,com.amazonaws.services.s3.model.CSVInput
.,com.amazonaws.services.s3.model,GeneratePresignedUrlRequest,901.0,812.0,9.0,7.0,0.9318181818181818,0.1555555555555555,com.amazonaws.services.s3.model.GeneratePresignedUrlRequest
.,com.amazonaws.services.s3.model,Rule,900.0,854.0,18.0,11.0,0.9450317124735728,0.25,com.amazonaws.services.s3.model.Rule
.,com.amazonaws.services.s3.model,ObjectMetadata,899.0,0.0,3.0,3.0,0.8944444444444444,0.0491803278688524,com.amazonaws.services.s3.model.ObjectMetadata
.,com.amazonaws.services.s3.model,RestoreObjectRequest,882.0,818.0,13.0,3.0,0.937984496124031,0.0681818181818181,com.amazonaws.services.s3.model.RestoreObjectRequest
